direction,src_text,output,reason,score
en_fr,Ftrace,Les traces,xling=0.48,0.478
en_fr,Full Stack Development,Développement complet de la pile,xling=0.60,0.597
en_fr,Fuzzy Logic,Une logique floue,xling=0.53,0.526
en_fr,Generic Buffer Management,Gestion des tampons génériques,xling=0.60,0.600
en_fr,Gitkraken,Résultats de l'enquête,xling=0.37,0.367
en_fr,Gmock,Je vous en prie !,sentence_not_label,0.000
en_fr,Godaddy,Mon père !,xling=0.44,0.437
en_fr,Gradient Boosting,Un accroissement progressif,xling=0.62,0.619
en_fr,Graylog,L'écorce grise,xling=0.32,0.324
en_fr,Green Hills Integrity,L'intégrité des collines vertes,xling=0.58,0.582
en_fr,Grep,L'écorce,xling=0.35,0.351
en_fr,Grit,La grasseur,xling=0.48,0.480
en_fr,Gulp,Le gouffre,xling=0.49,0.490
en_fr,Hash Functions,Fonctions de hachage,xling=0.58,0.583
en_fr,Hateoas,Hateaux,xling=0.61,0.609
en_fr,Hdinsight,À l'œil,xling=0.56,0.564
en_fr,Heap Dump,Dépôt de déchets,xling=0.59,0.594
en_fr,Hewlett-Packard HP WinRunner,Parmi les produits de l'industrie de l'industrie de l'électricité,lost_protected_token,0.000
en_fr,Hiera,La hiérarchie,xling=0.50,0.504
en_fr,Hive,Coléoptère,xling=0.30,0.298
en_fr,Honeypot,Bouteille de miel,xling=0.45,0.446
en_fr,Hornetq,L'écorce,xling=0.31,0.309
en_fr,Hotfix,Réglage à chaud,xling=0.53,0.527
en_fr,Hyperledger,Législateur,xling=0.43,0.432
en_fr,IDoc,Il s'agit d'Idoc.,len_ratio=4.25,0.000
en_fr,Idms,Résultats de l'enquête,len_ratio=5.50,0.000
en_fr,Ifttt,Si ce n'est pas le cas,len_ratio=4.40,0.000
en_fr,Impdp,L'implémentation,xling=0.50,0.498
en_fr,Incremental Backup,Réservations accrues,xling=0.57,0.568
en_fr,Internal Logging,L'exploitation forestière interne,xling=0.60,0.601
en_fr,Iperf,- Je ne suis pas d'accord.,len_ratio=5.20,0.000
en_fr,Istio,Il s'agit d'Istio.,len_ratio=3.60,0.000
en_fr,Jamf,- Je vous en prie !,len_ratio=4.75,0.000
en_fr,JavaScript framework software,Logiciel-cadre JavaScript,xling=0.60,0.598
en_fr,Jenkinsfile,Fichier Jenkins,xling=0.54,0.544
en_fr,Jitterbit,- Je vous en prie !,xling=0.48,0.476
en_fr,Kapwing,Coups de poing,xling=0.52,0.517
en_fr,Kernel Debuggers,Les débogageurs du noyau,xling=0.56,0.558
en_fr,Kernel Methods,Méthodes du noyau,xling=0.56,0.561
en_fr,Kernel Mode,Mode du noyau,xling=0.50,0.503
en_fr,Klocwork,Travail à temps partiel,xling=0.56,0.563
en_fr,Korn Shell,La coquille de blé,xling=0.49,0.491
en_fr,Kusto Query Language,Le Kusto est une langue interrogatoire,xling=0.62,0.615
en_fr,Lazy Loading,Chargement paresseux,xling=0.52,0.524
en_fr,Leaflet (Software),Communiqué d'information (logiciel),xling=0.48,0.481
en_fr,Lean Functional Testing,Tests fonctionnels rigoureux,xling=0.62,0.616
en_fr,Liferay,La vie,xling=0.51,0.510
en_fr,Lightning Web Components,Components du réseau électrique,xling=0.60,0.603
en_fr,Linux Kernel,Le noyau Linux,xling=0.59,0.589
en_fr,Location Intelligence,Renseignements sur l'emplacement,xling=0.62,0.616
en_fr,Log Analysis,Analyse du tronc,xling=0.57,0.572
en_fr,Log Shipping,Expédition de journaux,xling=0.54,0.536
en_fr,Logcat,Le chat à bois,xling=0.46,0.460
en_fr,Logging,L'exploitation forestière,len_ratio=3.57,0.000
en_fr,Loom,Le tissu,xling=0.50,0.501
en_fr,Lucidworks,Les ouvrages lucides,xling=0.54,0.543
en_fr,MLflow,Flux d'écoulement,xling=0.55,0.547
en_fr,Mainframe Computing,L'informatique de l'ordinateur principal,xling=0.56,0.564
en_fr,Make (Software),Fabrication (logiciel),xling=0.54,0.540
en_fr,Master Boot Records,Les enregistrements de démarrage,xling=0.48,0.477
en_fr,Mbunit,M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M. M,len_ratio=23.67,0.000
en_fr,Mean Stack,Une pile moyenne,xling=0.61,0.605
en_fr,Medscribbler Enterprise,Entreprise médicalisée,xling=0.59,0.588
en_fr,Mentoring,Conseils d'orientation,xling=0.62,0.618
en_fr,Mesh Networking,Réseau de réseaux,xling=0.62,0.616
en_fr,Microsoft Proclarity,Proclamation de Microsoft,xling=0.62,0.619
en_fr,Minitest,Le plus petit,xling=0.52,0.518
en_fr,Mixins,Les mélanges,xling=0.57,0.570
en_fr,Mload,La charge,xling=0.43,0.434
en_fr,Mobileiron,Le fer à moteur,xling=0.46,0.458
en_fr,Motherboard,Plaque mère,xling=0.43,0.431
en_fr,Mule (Software),L'équipement est équipé d'un système d'exploitation automatique.,len_ratio=4.27,0.000
en_fr,Multihoming,Résidence à domicile,xling=0.47,0.467
en_fr,Multipath I/O,Résultats de l'étude,lost_protected_token,0.000
en_fr,Multiplexers,Les appareils de plomberie,xling=0.56,0.562
en_fr,Multiprocessing,Traitement à plusieurs reprises,xling=0.49,0.494
en_fr,NCover,N.C.O.V.,xling=0.59,0.586
en_fr,NT File System (NTFS),Système de fichiers NT,lost_protected_token,0.000
en_fr,Naming Conventions,Nommer les assemblées,xling=0.61,0.614
en_fr,Nearpod,Près de pied,xling=0.58,0.581
en_fr,Nested Queries,Les questions posées à l'intérieur du nid,xling=0.52,0.519
en_fr,Network Layer,Couche réseau,xling=0.50,0.502
en_fr,Ninject,Enjeu,xling=0.55,0.554
en_fr,Nmon,Je ne suis pas d'accord.,len_ratio=6.00,0.000
en_fr,Nunjucks,Les noix de coco,xling=0.50,0.497
en_fr,Nzsql,Résultats de l'enquête,len_ratio=4.40,0.000
en_fr,OAuth,Autorisation,xling=0.54,0.535
en_fr,OCUnit,L'unité,xling=0.42,0.425
en_fr,Oberon,L'Oberon,xling=0.60,0.603
en_fr,Object Management Group Object Request Broker,Groupe de gestion d'objets Intermédiaire de requêtes d'objets,xling=0.60,0.598
en_fr,Ocmock,Une chaise à dos,xling=0.42,0.417
en_fr,Oracle Toad,La grenouille de l'oracle,xling=0.41,0.414
en_fr,Packeteer,L'emballage,xling=0.56,0.556
en_fr,Pathfinder,Résumé de l'article,xling=0.41,0.405
en_fr,Peer-To-Peer,Parmi les pairs,xling=0.50,0.501
en_fr,Peoplesoft People Tools,Les outils pour les gens doux,xling=0.60,0.596
en_fr,Perfmon,Parfums,xling=0.52,0.517
en_fr,Perforce Software Configuration Management System,Appliquer le système de gestion de la configuration logicielle,xling=0.62,0.620
en_fr,Perforce software,Le logiciel d'exécution,xling=0.54,0.543
en_fr,Perl shell,Coquille de perle,xling=0.57,0.569
en_fr,Persistent Storage,Conservation continue,xling=0.52,0.518
en_fr,Pinecone,Pignons,xling=0.49,0.487
en_fr,Pivotal Tracker (Software),Traqueur pivotal (logiciel),xling=0.61,0.613
en_fr,Pixate,Pissé,xling=0.58,0.584
en_fr,Playwright,Rédacteur en théâtre,xling=0.61,0.612
en_fr,Plotters,Les complots,xling=0.60,0.601
en_fr,Portal Servers,Serveurs du portail,xling=0.61,0.615
en_fr,Powerapps,Applications électriques,xling=0.51,0.505
en_fr,Powermock,Une moquette électrique,xling=0.47,0.472
en_fr,Presentation Layer,Couche de présentation,xling=0.61,0.608
en_fr,Primeng,Première,xling=0.55,0.555
en_fr,Proguard,Garde de garde,xling=0.53,0.529
en_fr,Protocol Stack,La pile de protocoles,xling=0.60,0.597
en_fr,Public Switched Telephone Networks,Réseaux téléphoniques publics,xling=0.61,0.611
en_fr,Pypi,Pépé,xling=0.61,0.607
en_fr,Pyunit,Une unité,xling=0.44,0.440
en_fr,Quest Foglight,L'éclairage de brouillard,xling=0.56,0.561
en_fr,Rancher (Software),Ranger (logiciel),xling=0.54,0.535
en_fr,Reactstrap,Résistance à la réaction,xling=0.50,0.496
en_fr,Rebase,Réglage,xling=0.54,0.543
en_fr,Redgate SQL Server,Réservation de l'accès à l'aéroport,lost_protected_token,0.000
en_fr,Redmine,Mines rouges,xling=0.42,0.416
en_fr,Redux-Saga,Réduction de la quantité de sucre,xling=0.44,0.439
en_fr,Release Builds,La libération des bâtiments,xling=0.51,0.512
en_fr,Repository Design,Conception du référentiel,xling=0.57,0.565
en_fr,Repository Pattern,Modèle du référentiel,xling=0.60,0.603
en_fr,Restsharp,Résistant,xling=0.54,0.541
en_fr,Rich Ui,Je suis riche.,sentence_not_label,0.000
en_fr,Ring Networks,Réseaux d'anneaux,xling=0.57,0.565
en_fr,Ringcentral,Centre de l'anneau,xling=0.48,0.481
en_fr,Riverbed (Software),Couche de rivière (logiciel),xling=0.47,0.471
en_fr,Robotium,Le robot,xling=0.59,0.592
en_fr,Runbook,Carnet d'exécution,xling=0.50,0.503
en_fr,SPARQL Protocol And RDF Query Language (SPARQL),Le protocole SPARQL et le langage de requête (SPARQL),lost_protected_token,0.000
en_fr,SQLite,Pour le calcul de l'échantillon de l'échantillon,len_ratio=8.00,0.000
en_fr,Salesforce Development,Développement de la force de vente,xling=0.61,0.608
en_fr,Saucelabs,Les sauce-labs,xling=0.54,0.537
en_fr,Scalability Design,Conception d'évolutivité,xling=0.48,0.481
en_fr,Scalability Testing,Test d'évolutivité,xling=0.60,0.598
en_fr,Scalatest,Teste à grande échelle,xling=0.56,0.556
en_fr,Scalding,L'échafaudage,xling=0.47,0.469
en_fr,Scikit-learn,Apprendre à écrire,xling=0.51,0.515
en_fr,Screencastify,Définition de l'écran,xling=0.49,0.485
en_fr,Scriptella,Écriture,xling=0.54,0.542
en_fr,Secure Gateway,Une passerelle sécurisée,xling=0.57,0.566
en_fr,Seesaw,S'il vous plaît.,sentence_not_label,0.000
en_fr,Service Layer,Couche de service,xling=0.56,0.563
en_fr,Service Mesh,Réseau de service,xling=0.62,0.616
en_fr,Shell Commands,Commandes de la coque,xling=0.60,0.600
en_fr,Shift-Left Testing,Épreuves à gauche,xling=0.56,0.557
en_fr,Shiny,C' est brillant.,sentence_not_label,0.000
en_fr,Short Message Peer-To-Peer,Un bref message de l'un à l'autre,xling=0.61,0.606
en_fr,Siebel EIM,Elle a été créée à partir d'une date précise de la date d'entrée en vigueur de l'accord.,lost_protected_token,0.000
en_fr,Silk Performer,Artiste de la soie,xling=0.57,0.566
en_fr,Silk Test (Software),Test de la soie (logiciel),xling=0.55,0.553
en_fr,Silver Peak,Le sommet de l'argent,xling=0.53,0.528
en_fr,Simpletest,Le plus simple,xling=0.61,0.609
en_fr,Sitefinity,Définition de l'emplacement,xling=0.41,0.407
en_fr,Skybox,Boîte à ciel,xling=0.55,0.553
en_fr,Slackware,D'autres outils d'entretien,xling=0.42,0.421
en_fr,Smartgwt,Le système d'exploitation,xling=0.43,0.429
en_fr,Smartsheet,Tableau d'affichage,xling=0.55,0.555
en_fr,Snow (Software),Neige (logiciel),xling=0.59,0.589
en_fr,Snowpack,Coupe de neige,xling=0.49,0.491
en_fr,Solrcloud,Nuage solaire,xling=0.59,0.595
en_fr,Sonicwall,Parallèlement à l'aide d'appareils électroménagers,len_ratio=5.56,0.000
en_fr,Speaking,Je suis en train de parler.,sentence_not_label,0.000
en_fr,Spiceworks,Produits à base d'épices,xling=0.52,0.519
en_fr,Splunk,Une écorce,xling=0.47,0.467
en_fr,Splunk Development,Développement par étapes,xling=0.48,0.475
en_fr,Sprint Backlogs,Résultats du sprint,xling=0.50,0.499
en_fr,Stateful Firewall,Un pare-feu d' état,xling=0.57,0.570
en_fr,Statsd,Statistiques,xling=0.58,0.580
en_fr,Statspack,Réservations,xling=0.45,0.450
en_fr,Storage Devices,Appareils de stockage,xling=0.59,0.592
en_fr,Strace,D'une certaine façon,xling=0.35,0.352
en_fr,Strongloop,L'équipement,xling=0.43,0.435
en_fr,Stylelint,L'écorce,xling=0.33,0.327
en_fr,Suitescript,Scénario de suite,xling=0.59,0.588
en_fr,Suitetalk,Parler de suite,xling=0.59,0.588
en_fr,Switch software,Commutateur de logiciel,xling=0.61,0.612
en_fr,Switched Fabric,Tissu remplacé,xling=0.61,0.612
en_fr,Switchover,Le changement,xling=0.60,0.599
en_fr,Symantec Veritas NetBackup,Il s'agit de Symantec Veritas NetBackup.,sentence_not_label,0.000
en_fr,Tablets,Les comprimés,xling=0.55,0.553
en_fr,Talend,Télégraphie,xling=0.51,0.508
en_fr,Tape Libraries,Bibliothèques de ruban,xling=0.55,0.549
en_fr,Tape Management Systems,Systèmes de gestion du ruban,xling=0.61,0.612
en_fr,Technical Support,Appui technique,xling=0.52,0.522
en_fr,Template Engine,Moteur de modèles,xling=0.61,0.612
en_fr,Templating,Le modèle,xling=0.55,0.548
en_fr,Testing,Épreuves,xling=0.59,0.590
en_fr,Testrail,Résistance à l'épreuve,xling=0.48,0.477
en_fr,Thin Provisioning,Des fournitures minces,xling=0.61,0.614
en_fr,Thomson Reuters FileCabinet CS,Les résultats de l'enquête ont été obtenus au cours de l'année précédente.,lost_protected_token,0.000
en_fr,Thread Safety,Sécurité des fils,xling=0.55,0.548
en_fr,Togaf,Les produits de l'équipement,len_ratio=5.60,0.000
en_fr,Token Ring,Anneaux de jeton,xling=0.43,0.434
en_fr,Transformers,Les transformateurs,xling=0.59,0.592
en_fr,Transport Layer,Couche de transport,xling=0.53,0.533
en_fr,Transport Stream,Réseau de transport,xling=0.57,0.570
en_fr,Travis,"Travis , c' est vrai .",len_ratio=3.67,0.000
en_fr,Trimble SketchUp Pro,Résultats de l'étude,lost_protected_token,0.000
en_fr,Trunking,Réservation des bagages,xling=0.50,0.496
en_fr,Truststore,La boutique de fiducie,xling=0.56,0.562
en_fr,Tslint,Le plâtre et le plâtre,len_ratio=3.67,0.000
en_fr,Twiki,Les étoiles,xling=0.44,0.445
en_fr,Typesafe,Type de sécurité,xling=0.62,0.617
en_fr,Ubuntu,Le système d'exploitation,len_ratio=4.17,0.000
en_fr,Udeploy,Le déploiement,xling=0.55,0.555
en_fr,Unawave,Une vague,xling=0.55,0.549
en_fr,Unix Kernel,Le noyau Unix,xling=0.60,0.604
en_fr,Unreal Technology Unreal Engine,Technologie irréelle Moteur irréel,xling=0.57,0.569
en_fr,Uptime,Temps de fonctionnement,len_ratio=3.83,0.000
en_fr,Varnish,Vêtements à l'huile et à l'huile d'olive,len_ratio=5.71,0.000
en_fr,Viewshed Analysis,Analyse de l'état d'esprit,xling=0.59,0.590
en_fr,Vignette Portal,Portel de vignette,xling=0.60,0.602
en_fr,Virtualenv,Environnementaux,xling=0.44,0.443
en_fr,Vsftpd,Pour l'équipement,xling=0.38,0.376
en_fr,Watchkit,Kit de garde,xling=0.60,0.601
en_fr,Weaviate,Le tissu,xling=0.46,0.460
en_fr,Web Frameworks,Cadres Web,xling=0.60,0.600
en_fr,Webseal,Sélection d'écran,xling=0.45,0.453
en_fr,Whmcs,Pour les appareils électroménagers,len_ratio=6.80,0.000
en_fr,Widevine,Vigne de la vigne,xling=0.48,0.478
en_fr,Win CE,Je veux gagner CE,sentence_not_label,0.000
en_fr,Winbatch,Résistant à l'épuisement,xling=0.40,0.404
en_fr,Windows Shell,La coque des fenêtres,xling=0.45,0.450
en_fr,Windows Support,Prise en charge des fenêtres,xling=0.55,0.546
en_fr,Winrm,Résultats de l'enquête,len_ratio=4.40,0.000
en_fr,Wired Communications,Communication par câble,xling=0.59,0.592
en_fr,Wireless Bridge,Un pont sans fil,xling=0.61,0.607
en_fr,Wiremock,- Je ne sais pas.,sentence_not_label,0.000
en_fr,Wrike,Résistance à l'eau,len_ratio=3.60,0.000
en_fr,Wss 3.0,Résultats de l'enquête,lost_protected_token,0.000
en_fr,Xctest,Expérience,xling=0.44,0.436
en_fr,Yacc,Oui,xling=0.39,0.392
en_fr,Yslow,L'écoulement,xling=0.48,0.485
en_fr,Zipkin,- Je ne sais pas.,sentence_not_label,0.000
en_fr,Zuora,La région de Zuora,len_ratio=3.60,0.000
en_fr,ai applications,à propositions,xling=0.53,0.533
en_fr,angularjs,JJ angulaires,xling=0.59,0.591
en_fr,apache-spark,éclaboussure apache,xling=0.55,0.550
en_fr,aws-lambda,à l'aide d'un appareil électronique,xling=0.48,0.485
en_fr,buffer storage,stockage de tampon,xling=0.49,0.491
en_fr,business acumen,l'expérience de l'entreprise,xling=0.61,0.614
en_fr,cognos,connaissances,xling=0.55,0.546
en_fr,complete lattices,les réseaux complets,xling=0.60,0.603
en_fr,concept lattices,récifs conceptuels,xling=0.57,0.565
en_fr,dijkstra,à l'extérieur,xling=0.44,0.438
en_fr,flow,débit,xling=0.56,0.563
en_fr,fuzzy clustering,agglomération floue,xling=0.55,0.546
en_fr,iphone,l'appareil électronique,len_ratio=3.83,0.000
en_fr,mmorpg,à l'heure actuelle,xling=0.50,0.496
en_fr,multimodal ai,à plusieurs modèles,xling=0.60,0.603
en_fr,ngrep,Résultats de l'enquête,len_ratio=4.40,0.000
en_fr,osx,les États membres,len_ratio=5.67,0.000
en_fr,powerbi,pouvoirs,xling=0.56,0.563
en_fr,redhat,le rouge,xling=0.57,0.571
en_fr,rshiny,éblouissante,xling=0.46,0.460
en_fr,rule mining,réglementation de l'exploitation minière,len_ratio=3.64,0.000
en_fr,soa,à l'intérieur,len_ratio=4.33,0.000
en_fr,ssis,à l'intérieur de l'appareil,len_ratio=6.75,0.000
en_fr,stream ciphers,chiffres de flux,xling=0.58,0.584
en_fr,svn,à l'heure actuelle,len_ratio=6.00,0.000
en_fr,tidyverse,réparateur,xling=0.41,0.410
en_fr,tsql,à l'échelle nationale,len_ratio=5.25,0.000
en_fr,unreal,irréel,xling=0.61,0.605
en_fr,web mining,exploitation en ligne,xling=0.60,0.605
en_fr,worms,les vers,xling=0.61,0.608
en_fr,wpf,l'appareil électronique,len_ratio=7.67,0.000
fr_en,Assister la maîtrise d'ouvrage,Attending the Mastery of the Book,xling=0.57,0.571
fr_en,Connaissance des tendances du marché IT,Knowledge of market trends,lost_protected_token,0.000
fr_en,DUT informatique,Information and communication technology,lost_protected_token,0.000
fr_en,DUT métiers du multimédia et de l'internet,Multimedia and Internet occupations,lost_protected_token,0.000
fr_en,Domotique,Household goods,xling=0.48,0.477
fr_en,Développement de cahiers des charges,Development of charging logs,xling=0.55,0.546
fr_en,Développement de politiques de gouvernance cloud,Development of governance policies,lost_protected_token,0.000
fr_en,Econométrie,Economic and social policy,xling=0.55,0.546
fr_en,Electronique,Electrical and electronic equipment,xling=0.61,0.614
fr_en,Génie civil,Civil engineering,xling=0.60,0.603
fr_en,Génie énergétique,Energy engineering,xling=0.57,0.569
fr_en,Infogérance / télémaintenance,Infrastructure and telecommunications,xling=0.58,0.585
fr_en,Ingénieur diplômé de l'école nationale supérieure de techniques avancées Bretagne spécialité systèmes embarqués,Graduated engineer from the National Higher School of Advanced Techniques Brittany,xling=0.62,0.617
fr_en,Intégrer des outils IA/Data Science,Integration of IA/Zt0z tools,lost_protected_token,0.000
fr_en,Mise en place de data warehouses,Establishment of Zt0zs,lost_protected_token,0.000
fr_en,Optimiser le référencement naturel (SEO) des articles en ligne,Optimizing the natural SEO of online articles,lost_protected_token,0.000
fr_en,Règlement Général européen sur la Protection des Données (RGPD),This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.,lost_protected_token,0.000
fr_en,Rédaction de cahier des charges,Drafting of the charter,xling=0.60,0.602
fr_en,Spécialiste Jumeau Numérique,Specialist in the field of digital twins,xling=0.54,0.544
fr_en,Thermique,Heating and cooling,xling=0.56,0.558
